time, mass, displacement x, displacement y, displacement, velocity x, velocity y, velocity, acceleration x, acceleration y, acceleration
2.08, 10, 59.48801, 93.86122, 111.1249, 31.20002, 38.25117, 49.36186, 2.5, -6.610001, 7.066973, 
2.12, 10, 60.73801, 95.38598, 113.0822, 31.30002, 37.98677, 49.22079, 2.5, -6.610001, 7.066973, 
2.16, 10, 61.99202, 96.90016, 115.0333, 31.40002, 37.72237, 49.08094, 2.5, -6.610001, 7.066973, 
2.2, 10, 63.25002, 98.40377, 116.9781, 31.50002, 37.45797, 48.94233, 2.5, -6.610001, 7.066973, 
2.24, 10, 64.51202, 99.8968, 118.9167, 31.60002, 37.19357, 48.80495, 2.5, -6.610001, 7.066973, 
2.28, 10, 65.77802, 101.3793, 120.8491, 31.70002, 36.92917, 48.66883, 2.5, -6.610001, 7.066973, 
2.32, 10, 67.04802, 102.8511, 122.7754, 31.80002, 36.66477, 48.53398, 2.5, -6.610001, 7.066973, 
2.36, 10, 68.32202, 104.3124, 124.6956, 31.90002, 36.40037, 48.4004, 2.5, -6.610001, 7.066973, 
2.4, 10, 69.60002, 105.7632, 126.6097, 32.00002, 36.13597, 48.2681, 2.5, -6.610001, 7.066973, 
2.44, 10, 70.88202, 107.2033, 128.5177, 32.10002, 35.87157, 48.1371, 2.5, -6.610001, 7.066973, 
2.48, 10, 72.16802, 108.6329, 130.4198, 32.20002, 35.60717, 48.00742, 2.5, -6.610001, 7.066973, 
2.52, 10, 73.45802, 110.0519, 132.3159, 32.30002, 35.34277, 47.87904, 2.5, -6.610001, 7.066973, 
2.56, 10, 74.75202, 111.4603, 134.2061, 32.40002, 35.07837, 47.752, 2.5, -6.610001, 7.066973, 
2.6, 10, 76.05003, 112.8582, 136.0903, 32.50002, 34.81397, 47.62629, 2.5, -6.610001, 7.066973, 
2.64, 10, 77.35203, 114.2454, 137.9687, 32.60001, 34.54957, 47.50193, 2.5, -6.610001, 7.066973, 
2.68, 10, 78.65803, 115.6221, 139.8412, 32.70001, 34.28517, 47.37893, 2.5, -6.610001, 7.066973, 
2.72, 10, 79.96803, 116.9882, 141.7079, 32.80001, 34.02077, 47.25731, 2.5, -6.610001, 7.066973, 
2.76, 10, 81.28203, 118.3438, 143.5689, 32.90001, 33.75637, 47.13707, 2.5, -6.610001, 7.066973, 
2.8, 10, 82.60003, 119.6888, 145.4241, 33.00001, 33.49197, 47.01822, 2.5, -6.610001, 7.066973, 
